instance_id,true_label,predicted_label_a,predicted_label_b,a_correct,b_correct
0019/001101#1,box,box,box,True,True
0019/001101#3,box,box,box,True,True
0011/000936#2,mug,box,box,False,False
0041/002171#0,can,can,can,True,True
0041/002171#1,box,box,box,True,True
0008/001841#0,can,can,can,True,True
0072/000826#1,box,box,box,True,True
0041/000281#0,can,can,can,True,True
0041/000281#1,box,box,box,True,True
0041/000281#2,box,box,box,True,True
0029/001061#0,box,box,box,True,True
0029/001061#1,box,box,box,True,True
0019/000096#1,box,box,box,True,True
0019/000096#3,box,box,box,True,True
0011/001041#1,bowl,box,box,False,False
0011/001041#2,mug,box,box,False,False
0008/000056#0,can,can,can,True,True
0008/000056#1,bottle,bottle,bottle,True,True
0059/001031#1,can,can,can,True,True
0007/001701#0,box,box,box,True,True
0007/001701#1,bottle,bottle,bottle,True,True
0007/001701#2,bowl,box,box,False,False
0044/000401#0,box,box,box,True,True
0044/000401#1,can,can,can,True,True
0044/000401#3,box,box,box,True,True
0007/001251#0,box,box,box,True,True
0007/001251#1,bottle,bottle,bottle,True,True
0007/001251#3,mug,mug,mug,True,True
0044/001161#0,box,box,box,True,True
0044/001161#1,can,can,can,True,True
0044/001161#2,box,box,box,True,True
0007/000746#3,mug,mug,mug,True,True
0008/000381#0,bottle,box,box,False,False
0008/000381#1,bottle,bottle,bottle,True,True
0041/002311#0,can,can,can,True,True
0041/002311#1,box,box,box,True,True
0008/002736#0,can,can,can,True,True
0029/000031#0,box,box,box,True,True
0029/000031#1,box,box,box,True,True
0007/001781#0,box,box,box,True,True
0007/001781#1,bottle,box,box,False,False
0007/001781#3,mug,mug,mug,True,True
0008/000896#0,can,can,can,True,True
0008/000896#2,bottle,bottle,bottle,True,True
0008/001596#0,can,can,can,True,True
0011/000651#0,bottle,bottle,bottle,True,True
0011/000651#1,bowl,box,box,False,False
0011/000651#2,mug,mug,mug,True,True
0011/000946#2,mug,box,box,False,False
0041/002226#0,can,can,can,True,True
0041/002226#1,box,box,box,True,True
0041/002226#2,box,box,box,True,True
0050/001606#0,box,box,box,True,True
0050/001606#1,can,can,can,True,True
0050/001606#2,bottle,bottle,bottle,True,True
0029/001036#0,box,box,box,True,True
0029/001036#1,box,box,box,True,True
0029/000381#0,box,box,box,True,True
0077/000036#0,box,box,box,True,True
0026/000801#0,bottle,bottle,bottle,True,True
0011/000841#0,bottle,bottle,bottle,True,True
0011/000841#1,bowl,bowl,bowl,True,True
0011/000841#2,mug,box,box,False,False
0044/001186#0,box,box,box,True,True
0044/001186#1,can,can,can,True,True
0044/001186#2,box,box,box,True,True
0026/001601#0,bottle,box,box,False,False
0019/000446#3,box,box,box,True,True
0008/001496#0,can,can,can,True,True
0044/000306#0,box,box,box,True,True
0044/000306#1,can,can,can,True,True
0044/000306#3,box,box,box,True,True
0008/000961#0,can,can,can,True,True
0008/000961#2,bottle,bottle,bottle,True,True
0059/000101#1,can,can,can,True,True
0077/000566#0,box,box,box,True,True
0048/000771#0,can,can,can,True,True
0041/000131#0,can,can,can,True,True
0041/000131#1,box,box,box,True,True
0041/000131#2,box,box,box,True,True
0050/000026#1,can,can,can,True,True
0026/000746#0,bottle,bottle,bottle,True,True
0044/001306#0,box,box,box,True,True
0044/001306#1,can,can,can,True,True
0044/001306#2,box,box,box,True,True
0044/001306#3,box,box,box,True,True
0059/000631#1,can,can,can,True,True
0044/002076#0,box,box,box,True,True
0044/002076#1,can,can,can,True,True
0044/002076#2,box,box,box,True,True
0044/002076#3,box,box,box,True,True
0044/000106#0,box,box,box,True,True
0044/000106#1,can,can,can,True,True
0044/000106#3,box,box,box,True,True
0011/000591#0,bottle,bottle,bottle,True,True
0011/000591#1,bowl,box,box,False,False
0011/000591#2,mug,box,box,False,False
0041/002221#0,can,can,can,True,True
0041/002221#1,box,box,box,True,True
0041/002221#2,box,box,box,True,True
0026/000291#0,bottle,box,bottle,False,True
0041/001656#0,can,can,can,True,True
0019/000631#3,box,box,box,True,True
0026/001546#0,bottle,box,box,False,False
0007/001431#0,box,box,box,True,True
0007/001431#1,bottle,bottle,bottle,True,True
0007/001431#2,bowl,box,box,False,False
0044/000671#1,can,can,can,True,True
0041/001066#0,can,can,can,True,True
0041/001066#1,box,box,box,True,True
0050/001411#0,box,box,box,True,True
0050/001411#1,can,can,can,True,True
0050/001411#2,bottle,bottle,bottle,True,True
0050/001371#0,box,box,box,True,True
0050/001371#1,can,can,can,True,True
0048/002151#0,can,can,can,True,True
0048/002151#1,mug,box,box,False,False
0041/001536#0,can,can,can,True,True
0041/001536#1,box,box,box,True,True
0044/002306#0,box,box,box,True,True
0044/002306#1,can,can,can,True,True
0044/002306#2,box,box,box,True,True
0044/002306#3,box,box,box,True,True
0048/001656#0,can,can,can,True,True
0048/001656#1,mug,box,box,False,False
0019/001721#0,box,box,box,True,True
0019/001721#1,box,box,box,True,True
0008/001981#0,can,can,can,True,True
0008/000681#0,can,can,can,True,True
0048/000361#0,can,can,can,True,True
0048/000361#1,mug,mug,mug,True,True
0008/001296#0,can,can,can,True,True
0008/001296#1,bottle,bottle,bottle,True,True
0048/001761#0,can,can,can,True,True
0048/001761#1,mug,box,box,False,False
0059/001341#0,box,box,box,True,True
0059/001341#1,can,can,can,True,True
0026/000721#0,bottle,bottle,bottle,True,True
0029/000481#0,box,box,box,True,True
0041/000541#0,can,can,can,True,True
0041/000541#1,box,box,box,True,True
0041/001331#0,can,can,can,True,True
0050/001021#0,box,box,box,True,True
0050/001021#1,can,can,can,True,True
0048/001886#0,can,can,can,True,True
0048/001886#1,mug,box,box,False,False
0041/002001#0,can,can,can,True,True
0041/002001#1,box,box,box,True,True
0041/002001#2,box,box,box,True,True
0008/001616#0,can,can,can,True,True
0044/002431#0,box,box,box,True,True
0044/002431#1,can,can,can,True,True
0044/002431#2,box,box,box,True,True
0044/002431#3,box,box,box,True,True
0050/000436#0,box,box,box,True,True
0050/000436#1,can,can,can,True,True
0007/001801#0,box,box,box,True,True
0007/001801#3,mug,box,box,False,False
0044/001836#0,box,box,box,True,True
0044/001836#1,can,can,can,True,True
0044/001836#2,box,box,box,True,True
0044/000596#0,box,box,box,True,True
0044/000596#1,can,can,can,True,True
0044/000596#2,box,box,box,True,True
0044/000596#3,box,box,box,True,True
0008/002056#0,can,can,can,True,True
0044/001356#0,box,box,box,True,True
0044/001356#1,can,can,can,True,True
0044/001356#2,box,box,box,True,True
0011/000811#0,bottle,bottle,bottle,True,True
0011/000811#1,bowl,box,box,False,False
0011/000811#2,mug,mug,mug,True,True
0044/000331#0,box,box,box,True,True
0044/000331#1,can,can,can,True,True
0008/002211#0,can,can,can,True,True
0008/002211#1,bottle,box,box,False,False
0008/002211#2,bottle,box,box,False,False
0008/001401#0,can,can,can,True,True
0008/001401#1,bottle,bottle,bottle,True,True
0007/000726#3,mug,mug,mug,True,True
0019/000086#1,box,box,box,True,True
0019/000086#3,box,box,box,True,True
0048/000856#0,can,can,can,True,True
0050/000351#0,box,box,box,True,True
0050/000351#1,can,can,can,True,True
0041/000656#0,can,can,can,True,True
0041/000656#1,box,box,box,True,True
0041/000656#2,box,box,box,True,True
0044/001726#0,box,box,box,True,True
0044/001726#1,can,can,can,True,True
0044/001726#2,box,box,box,True,True
0059/000461#1,can,can,can,True,True
0008/002301#0,can,can,can,True,True
0008/002301#1,bottle,box,box,False,False
0008/002301#2,bottle,bottle,bottle,True,True
0059/000341#1,can,can,can,True,True
0019/001896#0,box,box,box,True,True
0019/001896#1,box,box,box,True,True
0048/000216#0,can,can,can,True,True
0041/000691#0,can,can,can,True,True
0041/000691#1,box,box,box,True,True
0059/000511#1,can,can,can,True,True
0008/000971#0,can,can,can,True,True
0008/000971#2,bottle,bottle,bottle,True,True
0048/000441#0,can,can,can,True,True
0008/000241#0,can,can,can,True,True
0050/001721#0,box,box,box,True,True
0050/001721#1,can,can,can,True,True
0007/001811#0,box,box,box,True,True
0007/001811#2,mug,box,box,False,False
0029/000421#0,box,box,box,True,True
0041/000026#0,can,can,can,True,True
0041/000026#1,box,box,box,True,True
0008/002971#0,can,can,can,True,True
0008/002971#1,bottle,bottle,bottle,True,True
0072/000601#0,bottle,box,box,False,False
0041/001071#0,can,can,can,True,True
0041/001071#1,box,box,box,True,True
0048/001011#0,can,can,can,True,True
0044/001111#0,box,box,box,True,True
0044/001111#1,can,can,can,True,True
0044/001111#2,box,box,box,True,True
0044/001111#3,box,box,box,True,True
0044/000941#0,box,box,box,True,True
0044/000941#1,can,can,can,True,True
0044/000941#2,box,box,box,True,True
0044/000941#3,box,box,box,True,True
0007/000631#1,bottle,bottle,bottle,True,True
0007/000631#3,mug,mug,mug,True,True
0007/000261#1,bottle,box,box,False,False
0007/000261#3,mug,box,box,False,False
0011/000096#1,bowl,box,box,False,False
0011/000096#2,mug,mug,mug,True,True
0048/001556#0,can,can,can,True,True
0029/000436#0,box,box,box,True,True
0077/000491#0,box,box,box,True,True
0008/002371#0,can,can,can,True,True
0008/002371#1,bottle,bottle,box,True,False
0008/002371#2,bottle,bottle,bottle,True,True
0050/001786#0,box,box,box,True,True
0050/001786#1,can,can,can,True,True
0044/002386#0,box,box,box,True,True
0044/002386#1,can,can,can,True,True
0044/002386#2,box,box,box,True,True
0044/002386#3,box,box,box,True,True
0048/001701#0,can,can,can,True,True
0048/001701#1,mug,box,box,False,False
0019/001566#0,box,box,box,True,True
0019/001566#1,box,box,box,True,True
0050/000996#0,box,box,box,True,True
0050/000996#1,can,can,can,True,True
0007/000426#1,bottle,box,box,False,False
0007/000426#2,bowl,bowl,bowl,True,True
0007/000426#3,mug,box,box,False,False
0019/000531#3,box,box,box,True,True
0008/000081#0,can,can,can,True,True
0008/000081#1,bottle,bottle,bottle,True,True
0044/000316#1,can,can,can,True,True
0044/000316#2,box,box,box,True,True
0044/000316#3,box,box,box,True,True
0048/000741#0,can,can,can,True,True
0048/000571#0,can,can,can,True,True
0007/001551#0,box,box,box,True,True
0007/001551#1,bottle,box,box,False,False
0007/001551#3,mug,mug,mug,True,True
0050/000921#0,box,box,box,True,True
0050/000921#1,can,can,can,True,True
0048/000086#0,can,can,can,True,True
0041/001176#0,can,can,can,True,True
0029/001081#0,box,box,box,True,True
0029/001081#1,box,box,box,True,True
0008/001776#0,can,can,can,True,True
0008/001776#2,bottle,box,box,False,False
0059/000936#0,box,box,box,True,True
0059/000936#1,can,can,can,True,True
0041/000411#0,can,can,can,True,True
0041/000411#1,box,box,box,True,True
0041/000411#2,box,box,box,True,True
0059/000011#1,can,can,can,True,True
0011/000831#0,bottle,bottle,bottle,True,True
0011/000831#1,bowl,box,box,False,False
0011/000831#2,mug,box,box,False,False
0007/001946#1,bottle,box,box,False,False
0007/001946#3,mug,mug,mug,True,True
0008/000461#0,can,can,can,True,True
0008/000461#2,bottle,bottle,bottle,True,True
0041/002051#0,can,can,can,True,True
0041/002051#1,box,box,box,True,True
0041/002051#2,box,box,box,True,True
0048/000041#0,can,can,can,True,True
0048/001531#0,can,can,can,True,True
0044/001426#0,box,box,box,True,True
0044/001426#1,can,can,can,True,True
0044/001426#2,box,box,box,True,True
0048/001486#0,can,can,can,True,True
0007/000456#1,bottle,box,box,False,False
0007/000456#3,mug,mug,mug,True,True
0019/000656#3,box,box,box,True,True
0072/000361#0,bottle,bottle,bottle,True,True
0011/000791#0,bottle,bottle,bottle,True,True
0011/000791#1,bowl,bottle,bottle,False,False
0011/000791#2,mug,mug,mug,True,True
0007/001526#0,box,box,box,True,True
0007/001526#1,bottle,box,box,False,False
0007/001526#2,bowl,bowl,bowl,True,True
0007/001526#3,mug,mug,mug,True,True
0044/002131#0,box,box,box,True,True
0044/002131#1,can,can,can,True,True
0044/002131#2,box,box,box,True,True
0044/002131#3,box,box,box,True,True
0019/002181#0,box,box,box,True,True
0019/002181#1,box,box,box,True,True
0019/002181#3,box,box,box,True,True
0041/000856#0,can,can,can,True,True
0041/000856#1,box,box,box,True,True
0041/001436#0,can,can,can,True,True
0048/000291#0,can,can,can,True,True
0008/000746#0,can,can,can,True,True
0008/000746#2,bottle,bottle,bottle,True,True
0041/001416#0,can,can,can,True,True
0029/000261#0,box,box,box,True,True
0007/001061#0,box,box,box,True,True
0007/001061#1,bottle,box,box,False,False
0007/001061#3,mug,mug,mug,True,True
0041/001036#0,can,can,can,True,True
0041/001036#1,box,box,box,True,True
0041/002401#0,can,can,can,True,True
0041/002401#1,box,box,box,True,True
0041/002401#2,box,box,box,True,True
0026/000601#0,bottle,bottle,bottle,True,True
0008/002401#0,can,can,can,True,True
0008/002401#1,bottle,bottle,bottle,True,True
0007/001831#0,box,box,box,True,True
0007/001831#1,bottle,box,box,False,False
0007/001831#2,mug,mug,mug,True,True
0044/000606#0,box,box,box,True,True
0044/000606#1,can,can,can,True,True
0044/000606#3,box,box,box,True,True
0041/002071#0,can,can,can,True,True
0041/002071#1,box,box,box,True,True
0041/002071#2,box,box,box,True,True
0008/001631#0,can,can,can,True,True
0008/001631#2,bottle,box,box,False,False
0026/000326#0,bottle,box,box,False,False
0019/001586#1,box,box,box,True,True
0019/001586#2,box,box,box,True,True
0041/000366#0,can,can,can,True,True
0041/000366#1,box,box,box,True,True
0041/000366#2,box,box,box,True,True
0008/001166#0,can,can,can,True,True
0008/001166#1,bottle,bottle,bottle,True,True
0029/000531#0,box,box,box,True,True
0008/001696#0,can,can,can,True,True
0026/000781#0,bottle,bottle,bottle,True,True
0008/001666#0,can,can,can,True,True
0007/000776#3,mug,mug,mug,True,True
0044/000141#0,box,box,box,True,True
0044/000141#1,can,can,can,True,True
0044/000141#3,box,box,box,True,True
0007/000941#2,bowl,bowl,bowl,True,True
0007/000941#3,mug,box,box,False,False
0007/000471#1,bottle,box,box,False,False
0007/000471#3,mug,box,box,False,False
0008/002461#0,can,can,can,True,True
0008/002461#1,bottle,bottle,bottle,True,True
0008/002461#2,bottle,bottle,bottle,True,True
0048/000126#0,can,can,can,True,True
0044/001666#0,box,box,box,True,True
0044/001666#1,can,can,can,True,True
0044/001666#2,box,box,box,True,True
0011/000716#1,bowl,box,box,False,False
0011/000716#2,mug,mug,mug,True,True
0019/002041#0,box,box,box,True,True
0019/002041#1,box,box,box,True,True
0019/002041#3,box,box,box,True,True
0059/001421#0,box,box,box,True,True
0059/001421#1,can,can,can,True,True
0008/001476#0,can,can,can,True,True
0008/001476#1,bottle,bottle,bottle,True,True
0008/001476#2,bottle,box,box,False,False
0048/001611#0,can,can,can,True,True
0044/001831#1,can,can,can,True,True
0044/001831#2,box,box,box,True,True
0041/000636#0,can,can,can,True,True
0041/000636#1,box,box,box,True,True
0029/000116#0,box,box,box,True,True
0059/001686#0,box,box,box,True,True
0059/001686#1,can,can,can,True,True
0059/000311#1,can,can,can,True,True
0008/000201#0,can,can,can,True,True
0008/000201#1,bottle,bottle,bottle,True,True
0048/001206#0,can,can,can,True,True
0048/000531#0,can,can,can,True,True
0026/000251#0,bottle,bottle,bottle,True,True
0059/001276#0,box,box,box,True,True
0059/001276#1,can,can,can,True,True
0029/000081#0,box,box,box,True,True
0029/000756#0,box,box,box,True,True
0029/000756#1,box,box,box,True,True
0019/001246#3,box,box,box,True,True
0019/001186#1,box,box,box,True,True
0019/001186#3,box,box,box,True,True
0007/001691#0,box,box,box,True,True
0007/001691#1,bottle,bottle,bottle,True,True
0007/001691#2,bowl,bowl,bowl,True,True
0044/001076#1,can,can,can,True,True
0044/001076#2,box,box,box,True,True
0044/001076#3,box,box,box,True,True
0048/002126#0,can,can,can,True,True
0072/000841#1,box,box,box,True,True
0048/001046#0,can,can,can,True,True
0044/000041#0,box,box,box,True,True
0044/000041#1,can,can,can,True,True
0044/000041#3,box,box,box,True,True
0019/001616#0,box,box,box,True,True
0019/001616#1,box,box,box,True,True
0019/001616#3,box,box,box,True,True
0048/000831#0,can,can,can,True,True
0019/001711#0,box,box,box,True,True
0019/001711#1,box,box,box,True,True
0050/001836#0,box,box,box,True,True
0050/001836#1,can,can,can,True,True
0048/001326#0,can,can,can,True,True
0048/001326#1,mug,mug,mug,True,True
0044/000281#0,box,box,box,True,True
0044/000281#1,can,can,can,True,True
0044/000281#2,box,box,box,True,True
0044/000281#3,box,box,box,True,True
0048/000246#0,can,can,can,True,True
0044/001131#0,box,box,box,True,True
0044/001131#1,can,can,can,True,True
0044/001131#2,box,box,box,True,True
0008/000351#0,bottle,bottle,bottle,True,True
0008/000351#1,bottle,bottle,bottle,True,True
0059/001081#0,box,box,box,True,True
0059/001081#1,can,can,can,True,True
0044/001581#0,box,box,box,True,True
0044/001581#1,can,can,can,True,True
0044/001581#2,box,box,box,True,True
0007/001941#0,box,box,box,True,True
0007/001941#1,bottle,box,box,False,False
0007/001941#3,mug,mug,mug,True,True
0072/000131#1,box,box,box,True,True
0041/001551#0,can,can,can,True,True
0041/001551#1,box,box,box,True,True
0011/000046#1,bowl,box,box,False,False
0011/000046#2,mug,mug,mug,True,True
0059/000321#1,can,can,can,True,True
0007/001111#0,box,box,box,True,True
0007/001111#2,bowl,box,box,False,False
0007/001111#3,mug,mug,mug,True,True
0048/000196#0,can,can,can,True,True
0044/001976#0,box,box,box,True,True
0044/001976#1,can,can,can,True,True
0044/001976#3,box,box,box,True,True
0059/000731#1,can,can,can,True,True
0041/002431#0,can,can,can,True,True
0041/002431#1,box,box,box,True,True
0041/002431#2,box,box,box,True,True
0019/000116#1,box,box,box,True,True
0019/000116#3,box,box,box,True,True
0019/000561#3,box,box,box,True,True
0041/000841#0,can,can,can,True,True
0041/000841#1,box,box,box,True,True
0041/000841#2,box,box,box,True,True
0048/001826#0,can,can,can,True,True
0011/000971#1,bowl,box,box,False,False
0011/000971#2,mug,mug,mug,True,True
0026/001581#0,bottle,box,box,False,False
0011/000736#0,bottle,bottle,bottle,True,True
0011/000736#1,bowl,box,box,False,False
0011/000736#2,mug,mug,mug,True,True
0011/000631#1,bowl,box,box,False,False
0011/000631#2,mug,box,box,False,False
0048/001676#0,can,can,can,True,True
0050/000661#0,box,box,box,True,True
0029/000896#0,box,box,box,True,True
